GU_DONG,BUS_CNT
강남구개포1동,13
강남구개포2동,20
강남구개포4동,19
강남구개포동,20
강남구논현1동,7
강남구논현2동,4
강남구논현동,27
강남구대치1동,11
강남구대치2동,18
강남구대치4동,8
강남구대치동,14
강남구도곡1동,23
강남구도곡2동,14
강남구도곡동,8
강남구삼성1동,20
강남구삼성2동,6
강남구삼성동,23
강남구세곡동,34
강남구수서동,14
강남구신사동,26
강남구압구정동,13
강남구역삼1동,28
강남구역삼2동,15
강남구역삼동,29
강남구율현동,2
강남구일원1동,9
강남구일원2동,7
강남구일원동,13
강남구일원본동,19
강남구자곡동,3
강남구청담동,23
강동구강일동,40
강동구고덕1동,14
강동구고덕2동,11
강동구고덕동,4
강동구길동,28
강동구둔촌1동,4
강동구둔촌2동,20
강동구둔촌동,9
강동구명일1동,10
강동구명일2동,12
강동구명일동,10
강동구상일1동,13.5
강동구상일2동,13.5
강동구성내1동,5
강동구성내2동,11
강동구성내3동,9
강동구성내동,17
강동구암사1동,8
강동구암사2동,11
강동구암사3동,14
강동구암사동,8
강동구천호1동,9
강동구천호2동,14
강동구천호3동,4
강동구천호동,14
강북구미아동,53
강북구번1동,14
강북구번2동,22
강북구번3동,22
강북구번동,29
강북구삼각산동,13
강북구삼양동,21
강북구송중동,30
강북구송천동,9
강북구수유1동,24
강북구수유2동,7
강북구수유3동,4
강북구수유동,55
강북구우이동,11
강북구인수동,24
강서구가양1동,36
강서구가양2동,6
강서구가양3동,11
강서구가양동,14
강서구공항동,41
강서구과해동,1
강서구내발산동,8
강서구등촌1동,13
강서구등촌2동,9
강서구등촌3동,30
강서구등촌동,16
강서구발산1동,45
강서구방화1동,24
강서구방화2동,25
강서구방화3동,15
강서구방화동,11
강서구염창동,26
강서구오곡동,1
강서구외발산동,6
강서구우장산동,21
강서구화곡1동,13
강서구화곡2동,15
강서구화곡3동,4
강서구화곡4동,13
강서구화곡6동,19
강서구화곡8동,14
강서구화곡동,38
강서구화곡본동,18
관악구낙성대동,14
관악구난곡동,9
관악구난향동,9
관악구남현동,9
관악구대학동,29
관악구미성동,18
관악구보라매동,14
관악구봉천동,60
관악구삼성동,16
관악구서림동,12
관악구서원동,11
관악구성현동,15
관악구신림동,79
관악구신사동,13
관악구신원동,6
관악구은천동,22
관악구인헌동,12
관악구조원동,14
관악구중앙동,8
관악구청룡동,8
관악구청림동,6
관악구행운동,6
광진구광장동,26
광진구구의1동,8
광진구구의2동,10
광진구구의3동,16
광진구구의동,18
광진구군자동,22
광진구능동,9
광진구자양1동,11
광진구자양2동,5
광진구자양3동,13
광진구자양4동,10
광진구자양동,11
광진구중곡1동,9
광진구중곡2동,9
광진구중곡3동,8
광진구중곡4동,23
광진구중곡동,18
광진구화양동,15
구로구가리봉동,4
구로구개봉1동,23
구로구개봉2동,17
구로구개봉3동,10
구로구개봉동,19
구로구고척1동,21
구로구고척2동,22
구로구고척동,15
구로구구로1동,10
구로구구로2동,23
구로구구로3동,23
구로구구로4동,13
구로구구로5동,17
구로구구로동,41
구로구궁동,5
