,구이름,행정동,SUBWAY_NUM,STARBUCKS_NUM,SPORT_NUM,SAFE_DLVR_NUM,MC_NUM,KINDER_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,ACADEMY_NUM,ANIMAL_HSPT_NUM,BIKE_NUM,CAFE,CAR_SHR_NUM,CCTV_NUM,CHILD_MED_NUM,CON_NUM,DPTM_NUM
0,종로구,청운효자동,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,4.555555555555555,37.22222222222222,0.3333333333333333,54.888888888888886,7.111111111111111,2.0,0.0
1,종로구,사직동,1.1111111111111112,7.111111111111111,0.0,0.0,0.0,10.0,0.0,18.0,3.0,19.0,2.0,10.555555555555555,98.22222222222223,4.333333333333334,39.888888888888886,10.11111111111111,10.0,0.0
2,종로구,삼청동,0.0,1.0,1.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,7.0,52.0,1.0,22.0,1.0,1.0,0.0
3,종로구,부암동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,6.0,5.0,30.0,5.0,41.0,5.0,4.0,0.0
4,종로구,평창동,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,28.0,0.0,7.0,36.0,0.0,21.0,10.0,3.0,0.0
5,종로구,무악동,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,20.0,0.0,3.0,10.0,1.0,13.0,3.0,1.0,0.0
6,종로구,교남동,0.0,4.0,0.0,0.0,0.0,30.0,1.0,2.0,0.0,20.0,2.0,5.0,18.0,0.0,9.0,6.0,5.0,0.0
7,종로구,가회동,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,53.0,0.0,33.0,3.0,4.0,0.0
8,종로구,종로1.2.3.4가동,5.111111111111111,13.11111111111111,0.0,0.0,1.0,50.0,1.0,10.0,5.0,101.25,0.0,26.305555555555557,238.47222222222223,17.333333333333336,75.38888888888889,20.11111111111111,28.25,0.0
9,종로구,종로5.6가동,3.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,8.0,62.0,0.0,38.0,33.0,0.0,0.0
10,종로구,이화동,1.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,4.0,59.0,7.0,35.0,5.0,4.0,0.0
11,종로구,혜화동,0.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,40.25,2.0,8.75,68.25,2.0,70.5,28.0,8.25,0.0
12,종로구,창신제1동,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.1111111111111111,1.4444444444444444,0.2222222222222222,0.8888888888888888,4.0,0.0,4.333333333333333,3.222222222222222,0.7777777777777778,0.0
13,종로구,창신제2동,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.1111111111111111,1.4444444444444444,0.2222222222222222,0.8888888888888888,4.0,0.0,4.333333333333333,3.222222222222222,0.7777777777777778,0.0
14,종로구,창신제3동,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.1111111111111111,1.4444444444444444,0.2222222222222222,0.8888888888888888,4.0,0.0,4.333333333333333,3.222222222222222,0.7777777777777778,0.0
15,종로구,숭인제1동,0.5,0.25,0.0,0.5,0.0,2.5,0.0,1.25,0.5,4.0,1.0,1.0,5.25,1.0,8.75,5.25,2.25,0.0
16,종로구,숭인제2동,0.5,0.25,0.0,0.5,0.0,2.5,0.0,1.25,0.5,4.0,1.0,1.0,5.25,1.0,8.75,5.25,2.25,0.0
17,중구,소공동,2.0,8.0,0.0,0.0,0.0,10.0,0.0,5.75,3.0,8.25,0.0,7.0,103.0,8.25,75.5,19.25,21.5,1.25
18,중구,회현동,1.0,7.25,0.0,0.0,0.0,20.0,0.0,3.5,0.0,0.75,0.0,10.5,90.25,6.75,77.5,15.75,14.75,0.25
19,중구,명동,2.0,17.25,0.0,1.0,3.0,0.0,0.0,17.0,3.0,15.5,0.0,24.5,257.0,6.5,104.25,42.5,41.5,0.5
20,중구,필동,2.25,2.25,0.25,0.5,0.0,0.0,0.0,2.25,1.0,5.5,3.0,5.5,76.0,3.75,72.75,11.25,14.75,0.0
21,중구,장충동,0.25,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.25,0.5,2.25,14.5,1.5,41.0,3.0,3.5,0.0
22,중구,광희동,0.0,3.25,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.25,0.5,5.25,125.25,5.25,86.5,18.25,19.0,0.0
23,중구,을지로동,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,6.0,5.0,112.0,2.0,57.0,28.0,18.0,0.0
24,중구,신당동,2.138888888888889,2.0277777777777777,0.0,0.1388888888888889,0.0,0.5555555555555556,0.027777777777777776,3.5555555555555554,1.0555555555555556,2.611111111111111,0.5,0.3888888888888889,19.055555555555557,3.361111111111111,29.916666666666664,10.472222222222221,6.25,0.0
25,중구,다산동,0.1388888888888889,0.027777777777777776,0.0,0.1388888888888889,0.0,0.5555555555555556,0.027777777777777776,0.5555555555555556,0.05555555555555555,2.611111111111111,0.5,0.3888888888888889,4.055555555555555,0.3611111111111111,8.916666666666666,3.472222222222222,1.25,0.0
26,중구,약수동,0.1388888888888889,0.027777777777777776,0.0,0.1388888888888889,0.0,0.5555555555555556,0.027777777777777776,0.5555555555555556,0.05555555555555555,2.611111111111111,0.5,0.3888888888888889,4.055555555555555,0.3611111111111111,8.916666666666666,3.472222222222222,1.25,0.0
27,중구,청구동,0.1388888888888889,0.027777777777777776,0.0,0.1388888888888889,0.0,0.5555555555555556,0.027777777777777776,0.5555555555555556,0.05555555555555555,2.611111111111111,0.5,0.3888888888888889,4.055555555555555,0.3611111111111111,8.916666666666666,3.472222222222222,1.25,0.0
28,중구,신당제5동,0.1388888888888889,0.027777777777777776,0.0,0.1388888888888889,0.0,0.5555555555555556,0.027777777777777776,0.5555555555555556,0.05555555555555555,2.611111111111111,0.5,0.3888888888888889,4.055555555555555,0.3611111111111111,8.916666666666666,3.472222222222222,1.25,0.0
