SI_DO,GU,DONG,AREA
서울시,종로구,청운동,"797,032.5"
서울시,종로구,신교동,"99,144.0"
서울시,종로구,궁정동,"73,042.7"
서울시,종로구,효자동,"59,135.9"
서울시,종로구,창성동,"59,706.1"
서울시,종로구,통의동,"62,960.3"
서울시,종로구,적선동,"43,131.9"
서울시,종로구,통인동,"50,330.9"
서울시,종로구,누상동,"261,803.6"
서울시,종로구,누하동,"56,702.3"
서울시,종로구,옥인동,"414,842.7"
서울시,종로구,체부동,"45,188.5"
서울시,종로구,필운동,"86,207.7"
서울시,종로구,내자동,"52,259.8"
서울시,종로구,사직동,"284,141.8"
서울시,종로구,도렴동,"29,147.7"
서울시,종로구,당주동,"43,172.3"
서울시,종로구,내수동,"70,392.5"
서울시,종로구,세종로,"888,697.3"
서울시,종로구,신문로1가,"65,615.3"
서울시,종로구,신문로2가,"256,580.7"
서울시,종로구,청진동,"61,547.9"
서울시,종로구,서린동,"47,251.3"
서울시,종로구,수송동,"98,470.8"
서울시,종로구,중학동,"30,639.1"
서울시,종로구,종로1가,"28,463.2"
서울시,종로구,공평동,"38,723.9"
서울시,종로구,관훈동,"73,374.0"
서울시,종로구,견지동,"46,356.7"
서울시,종로구,와룡동,"707,460.7"
서울시,종로구,권농동,"34,394.9"
서울시,종로구,운니동,"69,916.0"
서울시,종로구,익선동,"46,498.2"
서울시,종로구,경운동,"57,151.9"
서울시,종로구,관철동,"80,572.8"
서울시,종로구,인사동,"69,726.6"
서울시,종로구,낙원동,"73,125.3"
서울시,종로구,종로2가,"59,331.0"
서울시,종로구,팔판동,"41,466.5"
서울시,종로구,삼청동,"1,186,746.9"
서울시,종로구,안국동,"68,134.1"
서울시,종로구,소격동,"61,326.9"
서울시,종로구,화동,"58,288.9"
서울시,종로구,사간동,"28,910.0"
서울시,종로구,송현동,"45,484.9"
서울시,종로구,가회동,"158,099.4"
서울시,종로구,재동,"53,276.0"
서울시,종로구,계동,"173,819.1"
서울시,종로구,원서동,"156,195.9"
서울시,종로구,훈정동,"206,168.9"
서울시,종로구,묘동,"30,711.5"
서울시,종로구,봉익동,"39,241.1"
서울시,종로구,돈의동,"32,535.8"
서울시,종로구,장사동,"57,515.3"
서울시,종로구,관수동,"60,459.6"
서울시,종로구,종로3가,"44,654.3"
서울시,종로구,인의동,"82,690.1"
서울시,종로구,예지동,"68,625.7"
서울시,종로구,원남동,"74,095.3"
서울시,종로구,연지동,"111,716.0"
서울시,종로구,종로4가,"43,120.8"
서울시,종로구,효제동,"100,304.3"
서울시,종로구,종로5가,"111,536.0"
서울시,종로구,종로6가,"151,927.6"
서울시,종로구,이화동,"122,431.7"
서울시,종로구,연건동,"295,241.4"
서울시,종로구,충신동,"128,023.3"
서울시,종로구,동숭동,"365,307.9"
서울시,종로구,혜화동,"324,350.3"
서울시,종로구,명륜1가,"193,340.1"
서울시,종로구,명륜2가,"108,495.9"
서울시,종로구,명륜4가,"74,744.9"
서울시,종로구,명륜3가,"414,470.5"
서울시,종로구,창신동,"779,623.3"
서울시,종로구,숭인동,"595,558.1"
서울시,종로구,교남동,"22,303.9"
서울시,종로구,평동,"80,527.3"
서울시,종로구,송월동,"44,554.5"
서울시,종로구,홍파동,"41,740.9"
서울시,종로구,교북동,"29,996.3"
서울시,종로구,행촌동,"129,410.6"
서울시,종로구,구기동,"3,710,703.7"
서울시,종로구,평창동,"5,154,552.4"
서울시,종로구,부암동,"1,547,704.0"
서울시,종로구,홍지동,"356,755.0"
서울시,종로구,신영동,"361,252.1"
서울시,종로구,무악동,"362,555.9"
서울시,중구,무교동,"32,184.5"
서울시,중구,다동,"58,770.1"
서울시,중구,태평로1가,"74,327.5"
서울시,중구,을지로1가,"62,451.4"
서울시,중구,을지로2가,"112,470.5"
서울시,중구,남대문로1가,"19,106.2"
서울시,중구,삼각동,"27,259.9"
서울시,중구,수하동,"18,360.8"
서울시,중구,장교동,"33,982.7"
서울시,중구,수표동,"35,130.3"
서울시,중구,소공동,"82,318.9"
서울시,중구,남창동,"138,532.1"
서울시,중구,북창동,"44,298.4"
서울시,중구,태평로2가,"82,257.1"
서울시,중구,남대문로2가,"26,561.4"
서울시,중구,남대문로3가,"33,664.1"
서울시,중구,남대문로4가,"54,834.8"
