,GU,DONG,20~24세,25~29세,30~34세,35~39세,인구수
0,종로구,사직동,473,753,802,721,2749
1,종로구,삼청동,153,178,161,192,684
2,종로구,부암동,630,673,644,638,2585
3,종로구,평창동,1108,1246,1050,1193,4597
4,종로구,무악동,469,442,384,527,1822
5,종로구,교남동,511,710,784,838,2843
6,종로구,가회동,214,267,269,288,1038
7,종로구,종로1.2.3.4가동,463,664,619,624,2370
8,종로구,종로5.6가동,556,769,499,301,2125
9,종로구,이화동,777,1126,812,483,3198
10,종로구,창신1동,473,456,364,293,1586
11,종로구,창신2동,875,786,606,481,2748
12,종로구,창신3동,426,548,474,480,1928
13,종로구,숭인1동,379,454,444,404,1681
14,종로구,숭인2동,955,1531,1079,633,4198
15,종로구,청운효자동,730,861,767,852,3210
16,종로구,혜화동,3743,2737,1286,890,8656
17,중구,소공동,107,224,350,412,1093
18,중구,회현동,225,325,306,331,1187
19,중구,명동,259,347,333,284,1223
20,중구,필동,639,554,439,329,1961
21,중구,장충동,868,776,414,342,2400
22,중구,광희동,634,857,657,461,2609
23,중구,을지로동,117,198,209,140,664
24,중구,신당5동,730,1050,967,784,3531
25,중구,황학동,818,1559,1609,1411,5397
26,중구,중림동,629,766,996,1216,3607
27,중구,신당동,849,1185,898,672,3604
28,중구,다산동,960,1470,1235,1058,4723
29,중구,약수동,861,1153,1116,1246,4376
30,중구,청구동,792,1125,1156,1021,4094
31,중구,동화동,626,740,667,679,2712
32,용산구,후암동,942,1500,1499,1397,5338
33,용산구,용산2가동,610,1186,1167,932,3895
34,용산구,남영동,416,637,666,477,2196
35,용산구,원효로2동,837,1062,1076,1063,4038
36,용산구,효창동,689,860,963,913,3425
37,용산구,용문동,758,1026,1032,946,3762
38,용산구,이촌1동,1422,1293,1382,1975,6072
39,용산구,이촌2동,385,463,629,751,2228
40,용산구,이태원1동,484,962,856,759,3061
41,용산구,이태원2동,578,1054,1074,1047,3753
42,용산구,서빙고동,978,848,756,864,3446
43,용산구,보광동,829,1520,1293,1138,4780
44,용산구,청파동,1928,2544,2029,1323,7824
45,용산구,원효로1동,909,1623,1953,1845,6330
46,용산구,한강로동,1322,2486,2857,2272,8937
47,용산구,한남동,1060,1804,2171,2286,7321
48,성동구,왕십리2동,1063,1457,1462,1466,5448
49,성동구,마장동,2032,2472,1864,1470,7838
50,성동구,사근동,3233,2827,1067,660,7787
51,성동구,행당1동,1038,1342,1199,1097,4676
52,성동구,행당2동,1440,1415,1698,1834,6387
53,성동구,응봉동,875,859,952,1210,3896
54,성동구,금호1가동,756,943,1061,1493,4253
55,성동구,금호4가동,575,890,1127,1464,4056
56,성동구,성수1가1동,1030,1542,1544,1403,5519
57,성동구,성수1가2동,791,1262,1296,1071,4420
58,성동구,성수2가1동,841,1397,1415,1177,4830
59,성동구,성수2가3동,676,1274,1045,860,3855
60,성동구,송정동,686,1109,884,781,3460
61,성동구,용답동,1096,1598,1028,781,4503
62,성동구,왕십리도선동,1794,2515,2222,2401,8932
63,성동구,금호2.3가동,1208,1580,1884,2186,6858
64,성동구,옥수동,1175,1583,2160,2732,7650
65,광진구,화양동,5642,6633,3170,1655,17100
66,광진구,군자동,2445,3273,2238,1674,9630
67,광진구,중곡1동,1022,1847,1712,1340,5921
68,광진구,중곡2동,1356,2428,2133,1817,7734
69,광진구,중곡3동,991,1636,1515,1205,5347
70,광진구,중곡4동,1779,2586,2285,2006,8656
71,광진구,능동,802,1612,1486,1145,5045
72,광진구,구의1동,1706,3059,2560,1811,9136
73,광진구,구의2동,1662,2061,1876,1993,7592
74,광진구,구의3동,1952,2570,2427,2175,9124
75,광진구,광장동,2171,1842,1520,2073,7606
76,광진구,자양1동,1649,2718,2146,1705,8218
77,광진구,자양2동,1494,2186,1914,1853,7447
78,광진구,자양3동,1773,2049,1972,2142,7936
79,광진구,자양4동,1582,2193,1726,1536,7037
80,동대문구,회기동,2969,2261,1006,668,6904
81,동대문구,휘경1동,2982,2405,1246,1079,7712
82,동대문구,휘경2동,3138,2855,1602,1427,9022
83,동대문구,청량리동,1007,1303,1064,1098,4472
84,동대문구,용신동,2604,4247,3342,2564,12757
85,동대문구,제기동,2976,2814,1822,1620,9232
86,동대문구,전농1동,2100,2551,2108,2079,8838
87,동대문구,전농2동,1153,1174,1119,1149,4595
88,동대문구,답십리2동,1567,2022,2211,2184,7984
89,동대문구,장안1동,2177,3238,3147,3187,11749
90,동대문구,장안2동,1804,2051,2227,2741,8823
91,동대문구,이문1동,3965,2948,1452,1016,9381
92,동대문구,이문2동,1465,1480,1227,1281,5453
93,동대문구,답십리1동,1811,2398,2420,2850,9479
94,중랑구,면목2동,1352,1929,1759,1558,6598
95,중랑구,면목4동,1070,1428,1331,1399,5228
96,중랑구,면목5동,754,1021,1209,1485,4469
97,중랑구,면목7동,1188,1832,1794,1567,6381
98,중랑구,상봉1동,1466,1955,1825,1789,7035
99,중랑구,상봉2동,1325,2973,2731,1851,8880
100,중랑구,중화1동,1074,1716,1702,1478,5970
101,중랑구,중화2동,1440,2258,1989,1771,7458
102,중랑구,묵1동,2223,2652,2355,2415,9645
103,중랑구,묵2동,1026,1657,1497,1413,5593
104,중랑구,망우3동,1000,1259,1102,1014,4375
105,중랑구,신내1동,2191,2555,2274,2469,9489
106,중랑구,신내2동,1113,1317,1403,1429,5262
107,중랑구,면목본동,2097,3318,2868,2469,10752
108,중랑구,면목3.8동,1504,2249,1927,1661,7341
109,중랑구,망우본동,1689,2578,2393,2293,8953
110,성북구,돈암1동,996,1003,1006,918,3923
111,성북구,돈암2동,1487,1360,1326,1609,5782
112,성북구,안암동,3344,2946,1363,882,8535
113,성북구,보문동,1125,1620,1363,1283,5391
114,성북구,정릉1동,1240,1104,1194,1340,4878
115,성북구,정릉2동,1558,1744,1480,1618,6400
116,성북구,정릉3동,2159,1771,1128,827,5885
117,성북구,정릉4동,1847,1672,1458,1630,6607
118,성북구,길음1동,1868,1495,1614,2634,7611
119,성북구,길음2동,1018,1025,1086,1346,4475
120,성북구,월곡1동,1444,1549,1624,1916,6533
121,성북구,월곡2동,1681,1968,1521,1327,6497
122,성북구,장위1동,1601,1784,1643,1795,6823
123,성북구,장위2동,873,1128,1016,855,3872
124,성북구,장위3동,993,1055,1048,1449,4545
125,성북구,성북동,1208,1592,1396,1195,5391
126,성북구,삼선동,2242,2280,1760,1557,7839
127,성북구,동선동,2541,2451,1504,1056,7552
128,성북구,종암동,3261,3339,2554,2679,11833
129,성북구,석관동,2413,3041,2519,2490,10463
130,강북구,번1동,1377,1887,1456,1264,5984
131,강북구,번2동,961,1197,821,902,3881
132,강북구,번3동,938,898,819,827,3482
133,강북구,수유1동,1266,1798,1452,1328,5844
134,강북구,수유2동,1361,1560,1317,1223,5461
135,강북구,수유3동,1755,2510,1902,1530,7697
136,강북구,삼양동,1434,1630,1422,1499,5985
137,강북구,미아동,1702,2136,1628,1322,6788
138,강북구,송중동,1982,2394,1991,2005,8372
139,강북구,송천동,1531,2001,1621,1577,6730
140,강북구,삼각산동,1806,1498,1474,2144,6922
141,강북구,우이동,1185,1355,1346,1267,5153
142,강북구,인수동,1724,2182,1845,1920,7671
143,도봉구,쌍문1동,1473,1566,1282,1317,5638
144,도봉구,쌍문2동,1083,1395,1257,1264,4999
145,도봉구,쌍문3동,1021,1440,1206,1145,4812
146,도봉구,쌍문4동,1177,1244,1050,1196,4667
147,도봉구,방학1동,1849,2109,1683,1652,7293
148,도봉구,방학2동,1229,1378,1062,1098,4767
149,도봉구,방학3동,1598,1581,1473,1596,6248
150,도봉구,창1동,1511,1728,1628,1659,6526
151,도봉구,창2동,1859,2300,2005,1988,8152
152,도봉구,창3동,819,929,804,811,3363
153,도봉구,창4동,1683,1846,1628,1698,6855
154,도봉구,창5동,1644,1935,1721,1766,7066
155,도봉구,도봉1동,1106,1411,1149,1152,4818
156,도봉구,도봉2동,1419,1764,1671,1812,6666
157,노원구,월계1동,2205,1919,1350,1304,6778
158,노원구,월계2동,1591,1520,1412,1666,6189
159,노원구,월계3동,1599,1872,2141,2371,7983
160,노원구,공릉2동,3902,3144,2678,2915,12639
161,노원구,하계1동,2615,2054,1489,1237,7395
162,노원구,하계2동,1520,1379,1207,1311,5417
163,노원구,중계본동,1769,1290,821,977,4857
164,노원구,중계1동,1745,1192,832,1137,4906
165,노원구,중계4동,1337,1131,871,1035,4374
166,노원구,상계1동,2456,2628,2307,2441,9832
167,노원구,상계2동,1571,1617,1219,1097,5504
168,노원구,상계5동,1603,1704,1363,1275,5945
169,노원구,상계8동,1212,1451,2315,2429,7407
170,노원구,상계9동,1379,1290,1329,1409,5407
171,노원구,상계10동,1220,1351,1447,1504,5522
172,노원구,상계3.4동,1554,1548,1342,1524,5968
173,노원구,상계6.7동,2042,2382,2420,2423,9267
174,노원구,중계2.3동,2096,2006,2029,2134,8265
175,노원구,공릉1동,3368,3539,2637,2555,12099
176,은평구,녹번동,2060,2915,3045,3034,11054
177,은평구,불광1동,2137,2985,2753,2671,10546
178,은평구,갈현1동,1468,2025,1606,1330,6429
179,은평구,갈현2동,1956,2402,1922,1922,8202
180,은평구,구산동,1952,2417,1975,2118,8462
181,은평구,대조동,1882,2998,2397,1919,9196
182,은평구,응암1동,1887,2664,2763,2807,10121
183,은평구,응암2동,1286,1355,1949,2952,7542
184,은평구,신사1동,1660,2180,1995,2008,7843
185,은평구,신사2동,1250,1608,1374,1374,5606
186,은평구,증산동,912,1113,1039,944,4008
187,은평구,수색동,730,931,949,1032,3642
188,은평구,진관동,3340,3594,3158,3367,13459
189,은평구,불광2동,1702,2520,2100,1763,8085
190,은평구,응암3동,1526,2062,1737,1631,6956
191,은평구,역촌동,2750,3768,3186,3206,12910
192,서대문구,천연동,1012,1183,1083,1277,4555
193,서대문구,홍제1동,1435,1638,1674,1693,6440
194,서대문구,홍제3동,978,1066,1053,908,4005
195,서대문구,홍제2동,816,923,972,918,3629
196,서대문구,홍은1동,1361,1478,1496,1596,5931
197,서대문구,홍은2동,2087,2333,1899,1708,8027
198,서대문구,남가좌1동,676,769,832,1460,3737
199,서대문구,남가좌2동,2550,2364,2049,2502,9465
200,서대문구,북가좌1동,996,1079,1075,1229,4379
201,서대문구,북가좌2동,2007,2645,2162,2042,8856
202,서대문구,충현동,1393,2051,1837,1617,6898
203,서대문구,북아현동,983,1252,1335,1529,5099
204,서대문구,신촌동,5337,5511,2664,1357,14869
205,서대문구,연희동,3642,4858,3352,2629,14481
206,마포구,용강동,920,1314,1668,2099,6001
207,마포구,대흥동,2024,2447,1483,1165,7119
208,마포구,염리동,1229,1686,1490,1444,5849
209,마포구,신수동,1649,1824,1748,1859,7080
210,마포구,서교동,2932,4360,3330,2356,12978
