DONG_CODE,SI_DO,GU,DONG,NUM_POPU
1111010100,서울특별시,종로구,청운동,2330
1111010200,서울특별시,종로구,신교동,1393
1111010300,서울특별시,종로구,궁정동,179
1111010400,서울특별시,종로구,효자동,572
1111010500,서울특별시,종로구,창성동,439
1111010600,서울특별시,종로구,통의동,311
1111010700,서울특별시,종로구,적선동,36
1111010800,서울특별시,종로구,통인동,755
1111010900,서울특별시,종로구,누상동,3241
1111011000,서울특별시,종로구,누하동,828
1111011100,서울특별시,종로구,옥인동,1956
1111011200,서울특별시,종로구,체부동,729
1111011300,서울특별시,종로구,필운동,1003
1111011400,서울특별시,종로구,내자동,93
1111011500,서울특별시,종로구,사직동,3306
1111011600,서울특별시,종로구,도렴동,1
1111011700,서울특별시,종로구,당주동,307
1111011800,서울특별시,종로구,내수동,2642
1111011900,서울특별시,종로구,세종로,0
1111012000,서울특별시,종로구,신문로1가,86
1111012100,서울특별시,종로구,신문로2가,612
1111012200,서울특별시,종로구,청진동,74
1111012300,서울특별시,종로구,서린동,1
1111012400,서울특별시,종로구,수송동,240
1111012500,서울특별시,종로구,중학동,4
1111012600,서울특별시,종로구,종로1가,94
1111012700,서울특별시,종로구,공평동,2
1111012800,서울특별시,종로구,관훈동,111
1111012900,서울특별시,종로구,견지동,228
1111013000,서울특별시,종로구,와룡동,110
1111013100,서울특별시,종로구,권농동,142
1111013200,서울특별시,종로구,운니동,165
1111013300,서울특별시,종로구,익선동,1060
1111013400,서울특별시,종로구,경운동,263
1111013500,서울특별시,종로구,관철동,234
1111013600,서울특별시,종로구,인사동,94
1111013700,서울특별시,종로구,낙원동,835
1111013800,서울특별시,종로구,종로2가,74
1111013900,서울특별시,종로구,팔판동,280
1111014000,서울특별시,종로구,삼청동,1304
1111014100,서울특별시,종로구,안국동,253
1111014200,서울특별시,종로구,소격동,143
1111014300,서울특별시,종로구,화동,247
1111014400,서울특별시,종로구,사간동,122
1111014500,서울특별시,종로구,송현동,0
1111014600,서울특별시,종로구,가회동,1056
1111014700,서울특별시,종로구,재동,85
1111014800,서울특별시,종로구,계동,1072
1111014900,서울특별시,종로구,원서동,1748
1111015000,서울특별시,종로구,훈정동,0
1111015100,서울특별시,종로구,묘동,40
1111015200,서울특별시,종로구,봉익동,58
1111015300,서울특별시,종로구,돈의동,768
1111015400,서울특별시,종로구,장사동,66
1111015500,서울특별시,종로구,관수동,364
1111015600,서울특별시,종로구,종로3가,114
1111015700,서울특별시,종로구,인의동,1056
1111015800,서울특별시,종로구,예지동,47
1111015900,서울특별시,종로구,원남동,504
1111016000,서울특별시,종로구,연지동,874
1111016100,서울특별시,종로구,종로4가,26
1111016200,서울특별시,종로구,효제동,888
1111016300,서울특별시,종로구,종로5가,167
1111016400,서울특별시,종로구,종로6가,493
1111016500,서울특별시,종로구,이화동,1769
1111016600,서울특별시,종로구,연건동,1657
1111016700,서울특별시,종로구,충신동,2663
1111016800,서울특별시,종로구,동숭동,3722
1111016900,서울특별시,종로구,혜화동,3229
1111017000,서울특별시,종로구,명륜1가,4282
1111017100,서울특별시,종로구,명륜2가,3078
1111017200,서울특별시,종로구,명륜4가,862
1111017300,서울특별시,종로구,명륜3가,4817
1111017400,서울특별시,종로구,창신동,18924
1111017500,서울특별시,종로구,숭인동,15638
1111017600,서울특별시,종로구,교남동,607
1111017700,서울특별시,종로구,평동,1591
1111017800,서울특별시,종로구,송월동,913
1111017900,서울특별시,종로구,홍파동,1571
1111018000,서울특별시,종로구,교북동,902
1111018100,서울특별시,종로구,행촌동,4291
1111018200,서울특별시,종로구,구기동,5848
1111018300,서울특별시,종로구,평창동,11919
1111018400,서울특별시,종로구,부암동,4119
1111018500,서울특별시,종로구,홍지동,1594
1111018600,서울특별시,종로구,신영동,3601
1111018700,서울특별시,종로구,무악동,8056
1114010100,서울특별시,중구,무교동,11
1114010200,서울특별시,중구,다동,59
1114010300,서울특별시,중구,태평로1가,6
1114010400,서울특별시,중구,을지로1가,1
1114010500,서울특별시,중구,을지로2가,60
1114010600,서울특별시,중구,남대문로1가,0
1114010700,서울특별시,중구,삼각동,4
1114010800,서울특별시,중구,수하동,0
1114010900,서울특별시,중구,장교동,1
1114011000,서울특별시,중구,수표동,18
1114011100,서울특별시,중구,소공동,1
1114011200,서울특별시,중구,남창동,436
1114011300,서울특별시,중구,북창동,167
1114011400,서울특별시,중구,태평로2가,52
1114011500,서울특별시,중구,남대문로2가,1
1114011600,서울특별시,중구,남대문로3가,11
1114011700,서울특별시,중구,남대문로4가,3
1114011800,서울특별시,중구,남대문로5가,782
1114011900,서울특별시,중구,봉래동1가,34
1114012000,서울특별시,중구,봉래동2가,1
1114012100,서울특별시,중구,회현동1가,3286
1114012200,서울특별시,중구,회현동2가,877
1114012300,서울특별시,중구,회현동3가,38
1114012400,서울특별시,중구,충무로1가,16
1114012500,서울특별시,중구,충무로2가,286
1114012600,서울특별시,중구,명동1가,17
1114012700,서울특별시,중구,명동2가,536
1114012800,서울특별시,중구,남산동1가,147
1114012900,서울특별시,중구,남산동2가,567
1114013000,서울특별시,중구,남산동3가,47
1114013100,서울특별시,중구,저동1가,15
1114013200,서울특별시,중구,충무로4가,1573
1114013300,서울특별시,중구,충무로5가,608
1114013400,서울특별시,중구,인현동2가,443
1114013500,서울특별시,중구,예관동,23
1114013600,서울특별시,중구,묵정동,904
1114013700,서울특별시,중구,필동1가,114
1114013800,서울특별시,중구,필동2가,842
1114013900,서울특별시,중구,필동3가,940
1114014000,서울특별시,중구,남학동,54
1114014100,서울특별시,중구,주자동,22
1114014200,서울특별시,중구,예장동,747
1114014300,서울특별시,중구,장충동1가,1660
1114014400,서울특별시,중구,장충동2가,2993
1114014500,서울특별시,중구,광희동1가,401
1114014600,서울특별시,중구,광희동2가,875
1114014700,서울특별시,중구,쌍림동,618
1114014800,서울특별시,중구,을지로6가,162
1114014900,서울특별시,중구,을지로7가,53
1114015000,서울특별시,중구,을지로4가,155
1114015100,서울특별시,중구,을지로5가,370
1114015200,서울특별시,중구,주교동,236
1114015300,서울특별시,중구,방산동,39
1114015400,서울특별시,중구,오장동,709
1114015500,서울특별시,중구,을지로3가,261
1114015600,서울특별시,중구,입정동,28
1114015700,서울특별시,중구,산림동,155
1114015800,서울특별시,중구,충무로3가,266
1114015900,서울특별시,중구,초동,80
1114016000,서울특별시,중구,인현동1가,78
1114016100,서울특별시,중구,저동2가,265
1114016200,서울특별시,중구,신당동,68655
1114016300,서울특별시,중구,흥인동,2301
1114016400,서울특별시,중구,무학동,236
1114016500,서울특별시,중구,황학동,12587
1114016600,서울특별시,중구,서소문동,28
1114016700,서울특별시,중구,정동,529
1114016800,서울특별시,중구,순화동,1266
1114016900,서울특별시,중구,의주로1가,196
1114017000,서울특별시,중구,충정로1가,2
1114017100,서울특별시,중구,중림동,6115
1114017200,서울특별시,중구,의주로2가,8
1114017300,서울특별시,중구,만리동1가,1323
1114017400,서울특별시,중구,만리동2가,4569
1117010100,서울특별시,용산구,후암동,16377
1117010200,서울특별시,용산구,용산동2가,9126
1117010300,서울특별시,용산구,용산동4가,2
1117010400,서울특별시,용산구,갈월동,2835
1117010500,서울특별시,용산구,남영동,588
1117010600,서울특별시,용산구,용산동1가,0
1117010700,서울특별시,용산구,동자동,3692
1117010800,서울특별시,용산구,서계동,4958
1117010900,서울특별시,용산구,청파동1가,7299
1117011000,서울특별시,용산구,청파동2가,3331
1117011100,서울특별시,용산구,청파동3가,3536
1117011200,서울특별시,용산구,원효로1가,6825
