"VEGAN_CODE","VEGAN_NAME","STD_DAY","CATE_CODE","GU","DONG","GU_CODE","DONG_CODE","ADD_STR","LAT","LON","SI_DO_CODE","SI_DO"
3896,"북한산 통큰 장어","2022-11-02","H113","은평구","진관동",11120,1138011400,"서울특별시 은평구 대서문길 11",37.657532,126.9471747,11,"서울특별시"
3897,"만석장","2022-11-02","H113","은평구","진관동",11120,1138011400,"서울특별시 은평구 대서문길  43-10 1층, 2층",37.6558594,126.9495669,11,"서울특별시"
3898,"피향정","2022-11-02","H113","은평구","진관동",11120,1138011400,"서울특별시 은평구 통일로 1010 (진관동) ",37.6327293,126.9185551,11,"서울특별시"
4936,"본죽 수유사거리점","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 도봉로 285 (수유동) 1층",37.6339024,127.0230889,11,"서울특별시"
4937,"본죽 우이사거리점","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 삼양로 423(수유동) ",37.6412551,127.0166133,11,"서울특별시"
4938,"본 죽&비빔밥 수유점","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로 1043 (수유동) ",37.6402972,127.0260531,11,"서울특별시"
4939,"본죽 수유점","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로 1043 (수유동)  ",37.6402972,127.0260531,11,"서울특별시"
4940,"레드라인","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 삼양로87길 30",37.6358274,127.0161977,11,"서울특별시"
4941,"마을찻집 마주이야기","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 인수봉로55길 10",37.6368762,127.0123202,11,"서울특별시"
4942,"샐러디 (수유역점)","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 도봉로 353-1, 1층(수유동)",37.6392291,127.0265543,11,"서울특별시"
4943,"올드델리 (수유)","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 도봉로 355",37.6393476,127.0267227,11,"서울특별시"
4135,"지우정","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 삼각산로 130(수유동)",37.6408307,127.0186698,11,"서울특별시"
4136,"다리원","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 노해로8길 2",37.6376422,127.0231532,11,"서울특별시"
4137,"착한낙지","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 4.19로 82(1층 수유동)",37.6456783,127.0057674,11,"서울특별시"
4138,"토종집","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 인수봉로19나길 32",37.6271137,127.0107161,11,"서울특별시"
4139,"삼족오","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로 1067-1",37.6417492,127.0240399,11,"서울특별시"
4140,"석가가든","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로  1160",37.6475534,127.0166323,11,"서울특별시"
4141,"크을농","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 4.19로8길  7-14",37.6470065,127.0083446,11,"서울특별시"
4142,"유락손칼국수","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 삼양로 461",37.6444459,127.0156761,11,"서울특별시"
4143,"남원추어탕","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 노해로 19 1층",37.6372329,127.0226827,11,"서울특별시"
4144,"향촌추어탕","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 노해로22길  7-2",37.6437716,127.0234469,11,"서울특별시"
4145,"군산해물탕","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로139길 41",37.6385778,127.0251578,11,"서울특별시"
4146,"곽만근 갈비탕 수유점","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 노해로  3",37.6359087,127.0227227,11,"서울특별시"
4147,"곰집","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로143길  22",37.6407767,127.0241093,11,"서울특별시"
4148,"이설면옥","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 4.19로 42(1,2층 수유동)",37.6473061,127.0096891,11,"서울특별시"
4149,"본가","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 삼각산로 122",37.6407508,127.0177304,11,"서울특별시"
4150,"윤가네 오리구이 전문점","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로144길 79(수유동)",37.6440717,127.0281455,11,"서울특별시"
4151,"대가원","2022-11-02","H113","강북구","수유동",11090,1130510300,"서울특별시 강북구 한천로 1064",37.6417373,127.0247766,11,"서울특별시"
