,GU,DONG_CODE,DONG,SUBWAY_NUM,STARBUCKS_NUM,SAFE_DLVR_NUM,MC_NUM,KINDER_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,ACADEMY_NUM,ANIMAL_HSPT_NUM,BIKE_NUM,CAFE,CAR_SHR_NUM,CCTV_NUM,CHILD_MED_NUM,CON_NUM,DPTM_NUM
0,종로구,1111010100,청운동,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,1,0
1,종로구,1111010200,신교동,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0
2,종로구,1111010300,궁정동,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3,종로구,1111010400,효자동,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
4,종로구,1111010500,창성동,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,1,0
5,종로구,1111010800,통인동,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0
6,종로구,1111010900,누상동,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
7,종로구,1111011000,누하동,0,0,0,0,0,0,0,0,2,1,0,8,0,0,2,0,0
8,종로구,1111011100,옥인동,0,0,1,0,0,0,0,0,2,1,0,5,0,0,3,0,0
9,종로구,1111011900,세종로,1,1,0,0,0,0,0,0,0,1,0,11,3,0,1,0,0
10,종로구,1111010600,통의동,0,1,0,0,0,0,1,0,1,1,0,8,0,0,0,0,0
11,종로구,1111010700,적선동,1,2,0,0,0,0,1,0,0,1,0,15,1,0,5,0,0
12,종로구,1111011200,체부동,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,0
13,종로구,1111011300,필운동,0,0,0,0,0,0,0,0,9,1,0,4,0,0,0,1,0
14,종로구,1111011400,내자동,0,0,0,0,0,0,2,0,5,1,0,4,0,0,5,0,0
15,종로구,1111011500,사직동,0,1,0,0,0,0,2,2,0,1,0,10,0,0,0,1,0
16,종로구,1111011600,도렴동,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0
17,종로구,1111011700,당주동,0,1,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0
18,종로구,1111011800,내수동,0,0,0,0,0,0,7,1,2,1,0,8,2,0,0,3,0
19,종로구,1111012000,신문로1가,0,1,0,0,0,0,2,0,1,1,0,11,0,0,0,2,0
20,종로구,1111012100,신문로2가,0,1,0,0,10,0,2,0,1,1,0,8,1,0,0,0,0
21,종로구,1111013900,팔판동,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
22,종로구,1111014000,삼청동,0,1,0,0,10,0,2,0,1,1,0,19,0,0,0,0,0
23,종로구,1111014100,안국동,0,0,0,0,0,0,0,0,0,1,0,12,1,0,1,0,0
24,종로구,1111014200,소격동,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0
25,종로구,1111014300,화동,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
26,종로구,1111014400,사간동,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0
27,종로구,1111014500,송현동,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,종로구,1111018400,부암동,0,0,0,0,0,0,1,0,5,1,0,13,2,0,2,1,0
29,종로구,1111018500,홍지동,0,0,0,0,0,0,0,0,1,1,0,10,1,0,1,3,0
30,종로구,1111018600,신영동,0,0,0,0,0,0,1,2,18,1,0,7,2,0,2,0,0
31,종로구,1111018200,구기동,0,0,0,0,0,0,1,1,5,1,0,7,0,0,3,1,0
32,종로구,1111018300,평창동,0,1,0,0,0,0,4,4,23,1,0,29,0,0,7,2,0
33,종로구,1111018700,무악동,0,0,0,0,10,0,0,1,20,1,0,10,1,0,3,1,0
34,종로구,1111017600,교남동,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
35,종로구,1111017700,평동,0,3,0,0,10,0,0,0,0,1,0,12,0,0,2,3,0
36,종로구,1111017800,송월동,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
37,종로구,1111017900,홍파동,0,0,0,0,10,0,0,0,8,1,0,1,0,0,0,0,0
38,종로구,1111018000,교북동,0,1,0,0,0,1,0,0,5,1,0,4,0,0,1,0,0
