약국ID,주소,약국명,대표전화1,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업일시
C1109587,서울특별시 강남구 헌릉로571길 7 강남레체 1층 101호 (세곡동),100세건강약국,02-445-1460,2000,2000,2000,2000,2000,1700,,,900,900,900,900,900,900,,,63,76,127.1013669,37.46604487,42:03.0
C1104730,서울특별시 강서구 화곡로 173  1층,21C세계로약국,02-2607-0624,2000,2000,2000,2000,2000,1600,1600,1330,900,900,900,900,900,900,1000,900,77,2,126.8407529,37.54204763,42:03.0
C1109521,서울특별시 금천구 시흥대로62길 29 1층 (시흥동),365그랜드약국,02-896-1223,2130,2130,2130,2130,2130,2130,2130,2130,930,930,930,930,930,930,1230,1230,86,26,126.9017245,37.45588019,42:03.0
C1109579,서울특별시 마포구 백범로 199 메트로디오빌빌딩 108호 (신공덕동),365열린약국,02-6010-2720,2100,2100,2100,2100,2100,1700,1700,1700,800,800,800,800,800,800,800,800,41,95,126.9528871,37.54350072,42:03.0
C1109578,서울특별시 강서구 공항대로41길 52 버들빌딩 1층 (등촌동),365열린약국,02-3661-3650,2500,2500,2500,2500,2500,2500,2500,2500,830,830,830,830,830,900,900,900,75,87,126.8462093,37.56004526,42:03.0
C1109562,서울특별시 강남구 선릉로 324 SH타워 5층 (대치동),5층약국,02-508-5030,1930,2030,1930,2030,2030,1600,1330,2000,830,830,830,830,830,830,830,900,62,5,127.0520942,37.49853038,42:03.0
C1109493,서울특별시 구로구 디지털로26길 38 G-Tower 2층 208호 (구로동),G타워약국,02-6077-3924,1930,1930,1930,1930,1930,1300,2500,2500,930,930,930,930,930,900,1300,1300,83,93,126.8953185,37.4798477,42:03.0
C1109519,서울특별시 금천구 독산로 133 1층 (시흥동),가까운약국,02-802-7779,1900,1900,1900,1900,1900,1430,1600,1900,800,800,800,800,800,800,900,900,86,22,126.9048737,37.45918029,42:03.0
C1109499,서울특별시 구로구 경인로40길 12 GB빌딩 1층 (개봉동),가람약국,02-2614-7645,2100,1900,1900,1900,1900,1400,2000,2000,900,900,900,900,900,900,1000,1000,82,77,126.8591313,37.4962642,42:03.0
C1102148,서울특별시 강서구 강서로 38,감초약국,02-2602-5884,2100,2100,2100,2100,2100,2100,2100,2000,1000,900,900,900,900,900,1400,900,77,60,126.8472901,37.53133,42:04.0
C1109043,서울특별시 강남구 학동로 지하 346 강남구청역 B1층 111호 (삼성동),강남구청역약국,02-511-6252,2100,2100,2100,2100,2100,1700,1700,1700,800,800,800,800,800,900,900,900,60,99,127.0413014,37.51718924,42:04.0
C1107162,서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호,강남굿모닝약국,02-529-4155,2000,2000,2000,2000,2000,2000,1700,1700,940,940,940,940,940,940,900,900,62,67,127.0358695,37.4851917,42:04.0
C1108644,서울특별시 강남구 헌릉로 569 1층 105호 (세곡동),강남리더스약국,02-3414-8001,1930,2000,1930,1930,2000,1600,1700,1700,900,900,900,900,900,900,900,900,63,76,127.1012262,37.46575802,42:04.0
C1107642,서울특별시 서초구 방배로 174 1층 (방배동 태창빌딩),강남메디칼약국,02-594-0801,2000,2000,2000,2000,2000,1600,1700,1700,830,830,830,830,830,830,900,900,65,86,126.9930618,37.489183,42:04.0
C1103021,서울특별시 강남구 삼성로 233  (대치동),강남메디칼약국,02-568-6644,1900,1900,1900,1900,1900,1800,1700,1700,900,900,900,900,900,900,900,900,62,79,127.0608994,37.49805504,42:04.0
C1107703,서울특별시 강남구 논현로86길 22 1층 (역삼동),강남미소약국,02-555-5640,2100,2100,2100,2100,2100,1400,1700,1700,900,900,900,900,900,900,900,900,62,23,127.0393552,37.50003198,42:04.0
C1108405,서울특별시 강남구 강남대로 376 1층 1호 (역삼동),강남미약국,02-501-2105,2100,2100,2100,2100,2100,2000,1900,1800,830,830,830,830,830,800,900,900,62,32,127.0287732,37.49656435,42:04.0
C1104900,서울특별시 강남구 도곡로 516  (대치동),강남보선약국,02-568-2310,2200,2200,2200,2200,2200,2200,1900,1900,1000,1000,1000,1000,1000,1000,1100,1100,62,82,127.0629902,37.499182,42:04.0
C1107954,서울특별시 강남구 역삼로 118 1층 (역삼동),강남봄약국,02-557-9480,1900,1900,1900,1900,1900,2200,1900,1900,900,900,900,900,900,1000,1100,1100,62,51,127.03218,37.49343157,42:04.0
C1103022,서울특별시 서초구 효령로 12 1층 (방배동),강남사랑약국,02-523-9775,1830,1830,1830,1830,1830,1400,1900,1900,830,830,830,830,830,830,1100,1100,66,98,126.9867274,37.47687106,42:04.0
C1101933,서울특별시 강남구 도곡로 523 1층 (대치동),강남새천년온누리약국,02-552-3524,2230,2230,2230,2230,2230,2230,2230,2230,1000,1000,1000,1000,1000,1000,1300,1300,61,90,127.0636695,37.50005741,42:04.0
C1107514,서울특별시 강남구 언주로 309 1층 (역삼동),강남샘약국,02-508-2333,1830,1830,1830,1830,1830,1400,2230,2230,930,930,930,930,930,930,1300,1300,62,29,127.045735,37.49509216,42:04.0
