,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
740,3240000,3240000-104-2015-00198,20151130,,1,영업/정상,1,영업,,,,,,422.3,134861.0,서울특별시 강동구 천호동 31-10번지 ,서울특별시 강동구 양재대로 1587 1~2층 (천호동),5307.0,맥도날드 굽은다리역 DT,20180500000000.0,I,59:59.0,패스트푸드,212568.2793,449457.6855,패스트푸드,,,,,,,,,,,,,,Y,422.3,,,
896,3240000,3240000-104-2014-00179,20141211,,1,영업/정상,1,영업,,,,,,265.09,134090.0,서울특별시 강동구 상일동 502번지 ,서울특별시 강동구 상일로6길 39 1층 (상일동),5288.0,맥도날드 상일점,20180500000000.0,I,59:59.0,패스트푸드,215407.8639,449741.6748,패스트푸드,,,,,,,,,,,,,,N,265.09,,,
3946,3060000,3060000-104-1999-08866,19991125,,1,영업/정상,1,영업,,,,,234230272,254.87,131865.0,서울특별시 중랑구 신내동 666 신아타운,서울특별시 중랑구 봉화산로 194 신아타운 12층 110214215호 지하2~3층 일부호 (신내동),2076.0,한국맥도날드신내점,20220600000000.0,U,06:00.0,패스트푸드,208295.0998,456014.9992,,,,,,,,,,,,,,,,,,,
3947,3070000,3070000-104-1999-09710,19990911,,1,영업/정상,1,영업,,,,,02 9268184,209.46,136075.0,서울특별시 성북구 안암동5가 102-33 방주빌딩,서울특별시 성북구 고려대로24길 42 (안암동5가),2855.0,한국맥도날드안암점,20220600000000.0,U,06:00.0,패스트푸드,202514.2864,453570.8313,,,,,,,,,,,,,,,,,,,
3949,3210000,3210000-104-1999-14265,19990910,,1,영업/정상,1,영업,,,,,02  61913500,377.19,137889.0,서울특별시 서초구 양재동 24 양재동스포타임 신관 1층2층,서울특별시 서초구 강남대로 213 12층 (양재동 양재동스포타임 신관 ),6749.0,한국맥도날드 양재점,20220600000000.0,U,06:00.0,패스트푸드,203028.5209,442302.8893,,,,,,,,,,,,,,,,,,,
3950,3210000,3210000-104-1999-14258,19990909,,1,영업/정상,1,영업,,,,,070 70170332,372.8,137842.0,서울특별시 서초구 방배동 909-9 유경빌딩,서울특별시 서초구 방배로 81 B1~2층 (방배동),6686.0,한국맥도날드 방배점,20220600000000.0,U,06:00.0,패스트푸드,199677.2376,442162.4017,,,,,,,,,,,,,,,,,,,
4062,3120000,3120000-104-2016-00185,20161024,,1,영업/정상,1,영업,,,,,070 70170485,435.82,120857.0,서울특별시 서대문구 홍제동 253-11 1~3층,서울특별시 서대문구 통일로 442-1 1~3층 (홍제동),3629.0,한국맥도날드(유) 홍제역점,20220600000000.0,U,06:00.0,패스트푸드,195044.1288,454043.2641,,,,,,,,,,,,,,,,,,,
4065,3170000,3170000-104-2015-00036,20150514,,1,영업/정상,1,영업,,,,,070 72090520,359.48,153858.0,서울특별시 금천구 시흥동 903-4 지상1층,서울특별시 금천구 시흥대로 184 지상1층 (시흥동),8630.0,한국맥도날드(유) 서울시흥DT점,20220600000000.0,U,06:00.0,패스트푸드,191316.7037,438703.2422,,,,,,,,,,,,,,,,,,,
4068,3140000,3140000-104-2013-00117,20131122,,1,영업/정상,1,영업,,,,,070 70176853,481.75,158830.0,서울특별시 양천구 신월동 199-3 한국맥도날드 신월점,서울특별시 양천구 남부순환로 404 한국맥도날드 신월점 1~2층 (신월동),7915.0,한국맥도날드(유)신월디티점,20220600000000.0,U,06:00.0,패스트푸드,184978.7939,447700.789,,,,,,,,,,,,,,,,,,,
4072,3120000,3120000-104-2012-00147,20121217,,1,영업/정상,1,영업,,,,,,409.48,120834.0,서울특별시 서대문구 창천동 33-12,서울특별시 서대문구 연세로 33 지하1~지상2층 (창천동),3788.0,한국맥도날드(유)연세대점,20220600000000.0,U,06:00.0,패스트푸드,194336.3961,450703.601,,,,,,,,,,,,,,,,,,,
