,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
107,3220000,3220000-104-2022-00321,20220628,,1,영업/정상,1,영업,,,,,,300.8,135502.0,서울특별시 강남구 대치동 996-1 미래에셋타워,서울특별시 강남구 테헤란로 620 미래에셋타워 지상1층 (대치동),6174.0,스타벅스 삼성역점,20220600000000.0,I,00:00.0,커피숍,205720.2606,445222.4498,,,,,,,,,,,,,,,,,,,
255,3240000,3240000-104-2020-00202,20200928,,1,영업/정상,1,영업,,,,,,366.91,134814.0,서울특별시 강동구 길동 457-4 거산 유팰리스 ,서울특별시 강동구 천호대로 1131 거산 유팰리스 12층 101102103104201202호 (길동),5355.0,스타벅스 천호대로길동점,20220200000000.0,U,40:00.0,커피숍,212060.9351,448068.1746,커피숍,,,,,,,,,,,,,,Y,366.91,,,
355,3240000,3240000-104-2020-00150,20200728,,1,영업/정상,1,영업,,,,,,264.0,134874.0,서울특별시 강동구 천호동 431-4 예경빌딩 ,서울특별시 강동구 올림픽로 651 예경빌딩 1층 (천호동),5248.0,스타벅스 천호사거리점,20220200000000.0,U,40:00.0,커피숍,210830.1344,448618.9908,커피숍,,,,,,,,,,,,,,N,264.0,,,
487,3240000,3240000-104-2020-00101,20200519,,1,영업/정상,1,영업,,,,,,286.2,134830.0,서울특별시 강동구 명일동 353-2 ,서울특별시 강동구 양재대로 1568 1층 101호 (명일동),5296.0,스타벅스 굽은다리역점,20220200000000.0,U,40:00.0,커피숍,212594.4291,449246.8776,커피숍,,,,,,,,,,,,,,N,286.2,,,
586,3240000,3240000-104-2014-00052,20140422,,1,영업/정상,1,영업,,,,,02  758 8752,332.32,134825.0,서울특별시 강동구 명일동 47-7 123F ,서울특별시 강동구 동남로75길 5 123F층 (명일동),5269.0,스타벅스 명일이마트점,20220200000000.0,U,40:00.0,커피숍,213715.028,450204.7403,커피숍,,,,,,,,,,,,,,Y,332.32,,,
590,3240000,3240000-104-2014-00021,20140227,,1,영업/정상,1,영업,,,,,02 4879932,373.94,134874.0,서울특별시 강동구 천호동 455-4 12층 ,서울특별시 강동구 천호대로 1015-14 123층 (천호동),5328.0,스타벅스 천호이마트점,20220200000000.0,U,40:00.0,커피숍,210996.4586,448531.8709,커피숍,,,,,,,,,,,,,,Y,373.94,,,
665,3240000,3240000-104-2009-00039,20090507,,1,영업/정상,1,영업,,,,,02 7588296,170.63,134840.0,서울특별시 강동구 성내동 62-4 태승빌딩1층 ,서울특별시 강동구 천호대로 1012 (성내동태승빌딩1층),5378.0,스타벅스 천호역점,20220200000000.0,U,40:00.0,커피숍,210921.8374,448409.2657,커피숍,,,,,,,,,,,,,,N,170.63,,,
684,3240000,3240000-104-2014-00072,20140612,,1,영업/정상,1,영업,,,,,02758 8776,321.3,134813.0,서울특별시 강동구 길동 378-3 12층 ,서울특별시 강동구 양재대로 1487 (길동 12층),5342.0,스타벅스커피 길동역점,20220200000000.0,U,40:00.0,커피숍,212307.2402,448505.0944,커피숍,,,,,,,,,,,,,,Y,321.3,,,
702,3240000,3240000-104-2016-00160,20160816,,1,영업/정상,1,영업,,,,,02 7588923,286.34,134864.0,서울특별시 강동구 천호동 447-17 ,서울특별시 강동구 천호대로 1089 101102103호 (천호동 강동헤르셔 제복합시설동),5339.0,스타벅스 강동역점,20220200000000.0,U,40:00.0,커피숍,211712.4293,448270.9577,커피숍,,,,,,,,,,,,,,N,286.34,,,
754,3240000,3240000-104-2015-00113,20150727,,1,영업/정상,1,영업,,,,,02  30151177,821.91,134864.0,서울특별시 강동구 천호동 453-14 ,서울특별시 강동구 천호대로 1037 123층 (천호동),5335.0,스타벅스 천호로데오점,20220200000000.0,U,40:00.0,커피숍,211184.9085,448405.5485,커피숍,,,,,,,,,,,,,,Y,821.91,,,
755,3240000,3240000-104-2016-00050,20160317,,1,영업/정상,1,영업,,,,,02  478 3240,257.4,134846.0,서울특별시 강동구 성내동 441-2 ,서울특별시 강동구 양재대로 1303 1층 (성내동),5408.0,스타벅스 둔촌동점,20220200000000.0,U,40:00.0,커피숍,211769.2321,446732.6402,커피숍,,,,,,,,,,,,,,N,257.4,,,
859,3240000,3240000-104-2013-00112,20131018,,1,영업/정상,1,영업,,,,,02  758 8690,236.0,134838.0,서울특별시 강동구 상일동 373-1 세종텔레콤 106호 204호 ,서울특별시 강동구 상일로10길 36 (상일동),5288.0,스타벅스 상일동점,20220200000000.0,U,40:00.0,커피숍,215384.8443,450156.4116,커피숍,,,,,,,,,,,,,,Y,236.0,,,
